Tiempo_FB ,Tiempo_DP ,Tiempo_FB_same_word ,Tiempo_DP_same_word
      130 ,        7 ,                  0 ,                  6
      146 ,        7 ,                  0 ,                  5
       92 ,        7 ,                  0 ,                  5
      113 ,        7 ,                  0 ,                  5
       93 ,        7 ,                  0 ,                  4
       35 ,        6 ,                  0 ,                  5
       33 ,        7 ,                  0 ,                  5
       77 ,        7 ,                  0 ,                  5
      133 ,        7 ,                  0 ,                  5
      559 ,       10 ,                  0 ,                  7
      464 ,        9 ,                  0 ,                  6
      484 ,        6 ,                  0 ,                  4
      639 ,        9 ,                  0 ,                  7
      716 ,        9 ,                  0 ,                 27
      726 ,       10 ,                  0 ,                  7
      554 ,        6 ,                  0 ,                  4
      579 ,        6 ,                  0 ,                  3
      468 ,        6 ,                  0 ,                  4
      573 ,       10 ,                  0 ,                  7
      367 ,        9 ,                  0 ,                  6
      550 ,        8 ,                  0 ,                  6
      424 ,        9 ,                  0 ,                  6
      360 ,        8 ,                  0 ,                  4
      334 ,        6 ,                  0 ,                  4
      329 ,        6 ,                  0 ,                  4
      367 ,        6 ,                  0 ,                  4
      158 ,        6 ,                  0 ,                  4
      614 ,        6 ,                  0 ,                  4
      454 ,        6 ,                  0 ,                  4
      498 ,        6 ,                  0 ,                  4
      387 ,        5 ,                  0 ,                  4
      629 ,        8 ,                  0 ,                  6
      441 ,        5 ,                  0 ,                  4
      511 ,        6 ,                  0 ,                  4
      347 ,        6 ,                  0 ,                  4
      404 ,       10 ,                  0 ,                  7
      473 ,        9 ,                  0 ,                  7
      288 ,        6 ,                  0 ,                  4
      510 ,        6 ,                  0 ,                  3
      265 ,        6 ,                  0 ,                  4
      526 ,       10 ,                  0 ,                  7
      343 ,        6 ,                  0 ,                  4
      389 ,        6 ,                  0 ,                  4
      562 ,        6 ,                  0 ,                  4
      448 ,        9 ,                  0 ,                  7
      501 ,        9 ,                  0 ,                  7
      611 ,        9 ,                  0 ,                  7
      181 ,        7 ,                  0 ,                  4
      317 ,        6 ,                  0 ,                  4
      375 ,        6 ,                  0 ,                  4
      285 ,        8 ,                  0 ,                  5
      242 ,        5 ,                  0 ,                  4
      376 ,        5 ,                  0 ,                  3
      393 ,        6 ,                  0 ,                  4
      181 ,        5 ,                  0 ,                  3
      234 ,        6 ,                  0 ,                  4
      378 ,        6 ,                  0 ,                  3
      271 ,        6 ,                  0 ,                  4
      314 ,        6 ,                  0 ,                  3
     2097 ,        7 ,                  0 ,                  5
      765 ,        7 ,                  0 ,                  5
     2560 ,       10 ,                  0 ,                  7
     1938 ,       15 ,                  0 ,                 11
     2267 ,       12 ,                  0 ,                 29
     3795 ,        9 ,                  0 ,                  6
     3778 ,       13 ,                  0 ,                  9
     2438 ,        7 ,                  0 ,                  5
     1816 ,        7 ,                  0 ,                  5
     1741 ,       10 ,                  0 ,                  7
     4878 ,       14 ,                  0 ,                 10
     1692 ,       12 ,                  0 ,                 10
     2558 ,        8 ,                  0 ,                  5
     1639 ,       12 ,                  0 ,                  9
     1146 ,        7 ,                  0 ,                  5
     2078 ,       13 ,                  0 ,                  8
     2090 ,       10 ,                  0 ,                  5
     4326 ,       17 ,                  0 ,                  9
     2875 ,       13 ,                  0 ,                  8
     1661 ,       10 ,                  0 ,                  5
     2104 ,        8 ,                  0 ,                  5
     4700 ,       11 ,                  0 ,                 18
     1895 ,       14 ,                  0 ,                  8
     3626 ,        9 ,                  0 ,                  5
     3253 ,        8 ,                  0 ,                  5
     1346 ,       12 ,                  0 ,                  8
     2194 ,       12 ,                  0 ,                  9
     2119 ,        8 ,                  0 ,                  5
     2818 ,        7 ,                  0 ,                  5
     1807 ,        8 ,                  0 ,                  7
     2194 ,        7 ,                  0 ,                  5
     1755 ,       12 ,                  0 ,                  9
     1620 ,       12 ,                  0 ,                  9
     2944 ,        7 ,                  0 ,                  5
      398 ,        7 ,                  0 ,                  8
      790 ,        8 ,                  0 ,                  6
     2299 ,       12 ,                  0 ,                  9
     1396 ,       11 ,                  0 ,                  8
     1862 ,       12 ,                  0 ,                  9
     2487 ,        8 ,                  0 ,                  6
     1677 ,        8 ,                  0 ,                  5
     1687 ,       11 ,                  0 ,                  9
     1427 ,        8 ,                  0 ,                  5
     2280 ,        8 ,                  0 ,                  5
     2792 ,       11 ,                  0 ,                  9
     3252 ,       13 ,                  0 ,                  9
     4213 ,       14 ,                  0 ,                  9
     2937 ,        8 ,                  0 ,                  5
     1745 ,        8 ,                  0 ,                  5
     1637 ,        8 ,                  0 ,                  5
    13537 ,       12 ,                  0 ,                 10
     7252 ,       18 ,                  0 ,                 12
    14375 ,       21 ,                  0 ,                 10
    17863 ,       17 ,                  0 ,                 10
     6209 ,       10 ,                  0 ,                  6
    14997 ,       17 ,                  0 ,                 14
    14344 ,       11 ,                  0 ,                  6
    11843 ,       11 ,                  0 ,                  7
    10768 ,       11 ,                  0 ,                  7
     6124 ,       13 ,                  0 ,                  6
    18939 ,       12 ,                  0 ,                  7
     8691 ,       11 ,                  0 ,                  9
    12320 ,        9 ,                  0 ,                  6
    17975 ,       13 ,                  0 ,                  7
     4868 ,       16 ,                  0 ,                 11
    10874 ,       14 ,                  0 ,                 10
    13384 ,       15 ,                  0 ,                 11
    11933 ,       12 ,                  0 ,                  7
    10208 ,       19 ,                  0 ,                 11
    21904 ,       20 ,                  0 ,                 11
    12456 ,       13 ,                  0 ,                  6
     8198 ,       19 ,                  0 ,                  9
    15308 ,       13 ,                  0 ,                  7
     6416 ,       19 ,                  0 ,                 11
     8678 ,       14 ,                  0 ,                 11
    10049 ,        9 ,                  0 ,                  6
    12308 ,       10 ,                  0 ,                  6
    10439 ,       17 ,                  0 ,                 11
     5229 ,       10 ,                  0 ,                  6
     6801 ,       15 ,                  0 ,                 11
     7524 ,       16 ,                  0 ,                 12
    10910 ,        9 ,                  0 ,                  7
     8458 ,       10 ,                  0 ,                  6
    14740 ,       13 ,                  0 ,                  6
     8514 ,       14 ,                  0 ,                  7
     8645 ,       12 ,                  0 ,                  6
    10958 ,       18 ,                  0 ,                 14
    10322 ,       11 ,                  0 ,                  6
     8091 ,       10 ,                  0 ,                  7
    13602 ,        9 ,                  0 ,                  6
     9856 ,       15 ,                  0 ,                 10
     4662 ,        9 ,                  0 ,                  6
     9505 ,       10 ,                  0 ,                  6
    13810 ,       10 ,                  0 ,                  6
    12138 ,       15 ,                  0 ,                 12
    15534 ,       17 ,                  0 ,                 12
     4254 ,       10 ,                  0 ,                  6
    15874 ,       18 ,                  0 ,                 11
     5363 ,       18 ,                  0 ,                 11
    11740 ,       12 ,                  0 ,                  7
    81449 ,       14 ,                  0 ,                  8
    43175 ,       15 ,                  0 ,                  8
    27759 ,       20 ,                  0 ,                 14
    48084 ,       14 ,                  0 ,                  8
    56286 ,       30 ,                  0 ,                  8
    50922 ,       14 ,                  0 ,                 18
    10478 ,       20 ,                  0 ,                 12
    10469 ,       13 ,                  0 ,                  8
    77924 ,       23 ,                  0 ,                 14
    32726 ,       14 ,                  0 ,                  7
    45273 ,       20 ,                  0 ,                 13
    34068 ,       13 ,                  0 ,                  8
    50689 ,       21 ,                  0 ,                 32
    71526 ,       14 ,                  0 ,                  7
    17637 ,       11 ,                  0 ,                  8
    36347 ,       31 ,                  0 ,                 13
    14495 ,       11 ,                  0 ,                  8
    81176 ,       14 ,                  0 ,                  7
    69448 ,       14 ,                  0 ,                  7
    52398 ,       21 ,                  0 ,                 13
    59659 ,       14 ,                  0 ,                  8
    30889 ,       13 ,                  0 ,                  8
    37712 ,       13 ,                  0 ,                  7
    53148 ,       14 ,                  0 ,                  8
    23719 ,       12 ,                  0 ,                  8
    97972 ,       23 ,                  0 ,                 14
   116711 ,       16 ,                  0 ,                  9
    51769 ,       14 ,                  0 ,                  7
    62297 ,       14 ,                  0 ,                  7
    61212 ,       14 ,                  0 ,                  7
    32382 ,       12 ,                  0 ,                  8
    26288 ,       11 ,                  0 ,                  7
    30020 ,       13 ,                  0 ,                  8
    46727 ,       20 ,                  0 ,                 12
    31103 ,       14 ,                  0 ,                  7
    44624 ,       15 ,                  0 ,                  7
    51921 ,       14 ,                  0 ,                  7
    38853 ,       18 ,                  0 ,                 11
    92428 ,       26 ,                  0 ,                 75
    32697 ,       18 ,                  0 ,                 10
    92451 ,       14 ,                  0 ,                  8
    46505 ,       14 ,                  0 ,                  7
    28284 ,       15 ,                  0 ,                  8
    68307 ,       14 ,                  0 ,                  7
    54887 ,       18 ,                  0 ,                  7
    40563 ,       14 ,                  0 ,                  7
    73305 ,       13 ,                  0 ,                  8
    70717 ,       14 ,                  0 ,                  8
    44499 ,       15 ,                  0 ,                  8
    71663 ,       14 ,                  0 ,                  8
   440532 ,       27 ,                  0 ,                 18
   411178 ,       17 ,                  0 ,                 10
    66868 ,       14 ,                  0 ,                  8
   391906 ,       15 ,                  0 ,                  9
   454951 ,       23 ,                  0 ,                 16
   221648 ,       16 ,                  0 ,                  9
    36613 ,       15 ,                  0 ,                  9
   295419 ,       17 ,                  0 ,                 11
   310635 ,       17 ,                  0 ,                 11
   187397 ,       17 ,                  0 ,                  9
   196362 ,       23 ,                  0 ,                 14
   231303 ,       24 ,                  1 ,                 21
   318707 ,       25 ,                  0 ,                 16
   244412 ,       17 ,                  0 ,                  9
   416884 ,       15 ,                  0 ,                  8
   316566 ,       16 ,                  0 ,                  9
   123275 ,       16 ,                  0 ,                  9
    58511 ,       22 ,                  0 ,                 15
   301833 ,       15 ,                  0 ,                  9
   214140 ,       16 ,                  0 ,                  9
   293743 ,       16 ,                  0 ,                 10
   409972 ,       20 ,                  0 ,                 14
   324055 ,       23 ,                  0 ,                  9
   175922 ,       15 ,                  0 ,                  8
   202910 ,       16 ,                  0 ,                  8
   371767 ,       29 ,                  0 ,                  9
    95955 ,       16 ,                  0 ,                  9
   155960 ,       16 ,                  0 ,                  9
   143949 ,       16 ,                  0 ,                  9
   203874 ,       16 ,                  0 ,                  9
   210810 ,       15 ,                  0 ,                  9
   418687 ,       16 ,                  0 ,                  9
   286519 ,       15 ,                  0 ,                  9
   365252 ,       15 ,                  0 ,                 10
   146796 ,       15 ,                  0 ,                  8
    90537 ,       16 ,                  0 ,                  9
   263516 ,       15 ,                  0 ,                  9
   271360 ,       16 ,                  0 ,                  9
   314736 ,       15 ,                  0 ,                  9
   198434 ,       16 ,                  0 ,                  9
   202795 ,       16 ,                  0 ,                  9
   240355 ,       26 ,                  0 ,                 18
    84397 ,       22 ,                  0 ,                 15
   218802 ,       16 ,                  0 ,                  9
   141417 ,       15 ,                  0 ,                  8
   265790 ,       18 ,                  0 ,                 10
   179407 ,       18 ,                  0 ,                  9
   315445 ,       20 ,                  0 ,                  8
   176178 ,       15 ,                  0 ,                  9
   283073 ,       15 ,                  0 ,                  8
